StarID,Name
1,Tom Hanks
2,Tim Allen
3,Don Rickles
4,Robin Williams
5,Kirsten Dunst
6,Bonnie Hunt
7,Walter Matthau
8,Jack Lemmon
9,Ann-Margret
10,Whitney Houston
11,Angela Bassett
12,Loretta Devine
13,Steve Martin
14,Diane Keaton
15,Martin Short
16,Al Pacino
17,Robert De Niro
18,Val Kilmer
19,Harrison Ford
20,Julia Ormond
21,Greg Kinnear
22,Jonathan Taylor Thomas
23,Brad Renfro
24,Charles Rocket
25,Jean-Claude Van Damme
26,Powers Boothe
27,Raymond J. Barry
28,Pierce Brosnan
29,Sean Bean
30,Izabella Scorupco
31,Michael Douglas
32,Annette Bening
33,Martin Sheen
34,Leslie Nielsen
35,Mel Brooks
36,Peter MacNicol
37,Kevin Bacon
38,Bob Hoskins
39,Bridget Fonda
40,Anthony Hopkins
41,Joan Allen
42,Geena Davis
43,Matthew Modine
44,Frank Langella
45,Sharon Stone
46,Joe Pesci
47,Emma Thompson
48,Kate Winslet
49,James Fleet
50,Tim Roth
51,Antonio Banderas
52,Sammi Davis
53,Jim Carrey
54,Ian McNeice
55,Simon Callow
56,Wesley Snipes
57,Woody Harrelson
58,Jennifer Lopez
59,Gene Hackman
60,Rene Russo
61,Danny DeVito
62,Sigourney Weaver
63,Holly Hunter
64,Dermot Mulroney
65,Sylvester Stallone
66,Julianne Moore
67,Mary Steenburgen
68,Sean Patrick Flanery
69,Lance Henriksen
70,Nicolas Cage
71,Elisabeth Shue
72,Julian Sands
73,Laurence Fishburne
74,Kenneth Branagh
75,Irène Jacob
76,Christina Ricci
77,Demi Moore
78,Rosie O'Donnell
79,Amanda Root
80,Ciarán Hinds
81,Susan Fleetwood
82,Ron Perlman
83,Daniel Emilfork
84,Judith Vittet
85,Gong Li
86,Baotian Li
87,Xiaoxiao Wang
88,Michelle Pfeiffer
89,George Dzundza
90,Courtney B. Vance
91,Bruce Willis
92,Madeleine Stowe
93,Brad Pitt
94,James Cromwell
95,Magda Szubanski
96,Christine Cavanaugh
97,Susan Sarandon
98,Sean Penn
99,Robert Prosky
100,Kirstie Alley
101,Steve Guttenberg
102,Mary-Kate Olsen
103,Alicia Silverstone
104,Stacey Dash
105,Brittany Murphy
106,Richard Harris
107,James Earl Jones
108,Vusi Kunene
109,Ian McKellen
110,Christopher Bowen
111,Larenz Tate
112,Keith David
113,Chris Tucker
114,Robert Downey Jr.
115,Sam Neill
116,David Thewlis
117,Christopher Lambert
118,Robin Shou
119,Linden Ashby
120,Nicole Kidman
121,Matt Dillon
122,Joaquin Phoenix
123,Winona Ryder
124,Ellen Burstyn
125,Anne Bancroft
126,Morgan Freeman
127,Kevin Spacey
128,Mel Gibson
129,Linda Hunt
130,Christian Bale
131,Pascale Bussières
132,Rachael Crawford
133,Henry Czerny
134,Gabriel Byrne
135,Chazz Palminteri
136,Woody Allen
137,Mira Sorvino
138,Pamela Blair
139,Enrico Lo Verso
140,Michele Placido
141,Piro Milkani
142,Olivia d'Abo
143,Jay O. Sanders
144,Jennifer Jason Leigh
145,Mare Winningham
146,Ted Levine
