movieId,releaseDate,Certification,title,genres,Main_director,Duration
1,22 March 1996 (UK),PG,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,1h 21min
2,16 February 1996 (UK),PG,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,1h 44min
3,1 March 1996 (UK),12,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,1h 41min
4,26 January 1996 (UK),15,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,2h 4min
5,2 February 1996 (UK),PG,Father of the Bride Part II (1995),Comedy,Charles Shyer,1h 46min
6,2 February 1996 (UK),15,Heat (1995),Action|Crime|Thriller,Michael Mann,2h 50min
7,26 January 1996 (UK),PG,Sabrina (1995),Comedy|Romance,Sydney Pollack,2h 7min
8,22 December 1995 (USA),PG,Tom and Huck (1995),Adventure|Children,Peter Hewitt,1h 37min
9,19 April 1996 (UK),18,Sudden Death (1995),Action,Peter Hyams,1h 51min
10,24 November 1995 (UK),15,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,2h 10min
11,8 December 1995 (UK),15,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,1h 54min
12,25 October 1996 (UK),PG,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,1h 28min
13,29 March 1996 (UK),U,Balto (1995),Adventure|Animation|Children,Simon Wells,1h 18min
14,15 March 1996 (UK),15,Nixon (1995),Drama,Oliver Stone,3h 12min
15,29 March 1996 (UK),15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,2h 4min
16,23 February 1996 (UK),18,Casino (1995),Crime|Drama,Martin Scorsese,2h 58min
17,23 February 1996 (UK),U,Sense and Sensibility (1995),Drama|Romance,Ang Lee,2h 16min
18,26 December 1995 (UK),18,Four Rooms (1995),Comedy,Allison Anders,1h 38min
19,26 December 1995 (UK),12,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,1h 30min
20,17 May 1996 (UK),18,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,1h 50min
21,15 March 1996 (UK),15,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,1h 45min
22,26 April 1996 (UK),18,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,2h 3min
