movieId,releaseDate,Certification,title,genres,Main_director,Duration
1,22 March 1996 (UK),PG,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,81
2,16 February 1996 (UK),PG,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,104
3,1 March 1996 (UK),12,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,101
4,26 January 1996 (UK),15,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,124
5,2 February 1996 (UK),PG,Father of the Bride Part II (1995),Comedy,Charles Shyer,106
6,2 February 1996 (UK),15,Heat (1995),Action|Crime|Thriller,Michael Mann,170
7,26 January 1996 (UK),PG,Sabrina (1995),Comedy|Romance,Sydney Pollack,127
8,22 December 1995 (USA),PG,Tom and Huck (1995),Adventure|Children,Peter Hewitt,97
9,19 April 1996 (UK),18,Sudden Death (1995),Action,Peter Hyams,111
10,24 November 1995 (UK),15,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,130
11,8 December 1995 (UK),15,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,114
12,25 October 1996 (UK),PG,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,88
13,29 March 1996 (UK),U,Balto (1995),Adventure|Animation|Children,Simon Wells,78
14,15 March 1996 (UK),15,Nixon (1995),Drama,Oliver Stone,192
15,29 March 1996 (UK),15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,124
16,23 February 1996 (UK),18,Casino (1995),Crime|Drama,Martin Scorsese,178
17,23 February 1996 (UK),U,Sense and Sensibility (1995),Drama|Romance,Ang Lee,136
18,26 December 1995 (UK),18,Four Rooms (1995),Comedy,Allison Anders,98
19,26 December 1995 (UK),12,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,90
20,17 May 1996 (UK),18,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,110
21,15 March 1996 (UK),15,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,105
22,26 April 1996 (UK),18,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,123
23,6 October 1995 (UK),15,Assassins (1995),Action|Crime|Thriller,Richard Donner,132
24,14 February 1997 (UK),12,Powder (1995),Drama|Sci-Fi,Victor Salva,111
25,19 January 1996 (UK),18,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,111
26,16 February 1996 (UK),12,Othello (1995),Drama,Oliver Parker,123
27,7 June 1996 (UK),PG,Now and Then (1995),Children|Drama,Lesli Linka Glatter,100
28,Episode aired 16 April 1995,PG,Persuasion (1995),Drama|Romance,Roger Michell,107
29,1 September 1995 (UK),15,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Marc Caro,112
30,24 November 1995 (UK),15,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,108
31,19 January 1996 (UK),15,Dangerous Minds (1995),Drama,John N. Smith,99
32,19 April 1996 (UK),15,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,129
34,15 December 1995 (UK),U,Babe (1995),Children|Drama,Chris Noonan,91
36,29 March 1996 (UK),15,Dead Man Walking (1995),Crime|Drama,Tim Robbins,122
38,2 May 1997 (UK),PG,It Takes Two (1995),Children|Comedy,Andy Tennant,101
39,20 October 1995 (UK),12,Clueless (1995),Comedy|Romance,Amy Heckerling,97
40,27 October 1995 (South Africa),12,"Cry, the Beloved Country (1995)",Drama,Darrell Roodt,106
41,26 April 1996 (UK),15,Richard III (1995),Drama|War,Richard Loncraine,110
42,6 September 1996 (UK),18,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes,119
43,8 March 1996 (UK),15,Restoration (1995),Drama,Michael Hoffman,117
44,20 October 1995 (UK),15,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W.S. Anderson,101
45,27 October 1995 (UK),15,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,106
46,14 June 1996 (UK),15,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,117
47,5 January 1996 (UK),18,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,127
48,6 October 1995 (UK),U,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel,81
