movieId,title,genres,Main_director,Duration
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,1h 21min
2,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,1h 44min
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,1h 41min
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,2h 4min
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,1h 46min
6,Heat (1995),Action|Crime|Thriller,Michael Mann,2h 50min
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,2h 7min
8,Tom and Huck (1995),Adventure|Children,Peter Hewitt,1h 37min
9,Sudden Death (1995),Action,Peter Hyams,1h 51min
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,2h 10min
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,1h 54min
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,1h 28min
13,Balto (1995),Adventure|Animation|Children,Simon Wells,1h 18min
14,Nixon (1995),Drama,Oliver Stone,3h 12min
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,2h 4min
16,Casino (1995),Crime|Drama,Martin Scorsese,2h 58min
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,2h 16min
18,Four Rooms (1995),Comedy,Allison Anders,1h 38min
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,1h 30min
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,1h 50min
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,1h 45min
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,2h 3min
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,2h 12min
24,Powder (1995),Drama|Sci-Fi,Victor Salva,1h 51min
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,1h 51min
26,Othello (1995),Drama,Oliver Parker,2h 3min
27,Now and Then (1995),Children|Drama,Lesli Linka Glatter,1h 40min
28,Persuasion (1995),Drama|Romance,Roger Michell,1h 47min
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Marc Caro,1h 52min
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,1h 48min
31,Dangerous Minds (1995),Drama,John N. Smith,1h 39min
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,2h 9min
34,Babe (1995),Children|Drama,Chris Noonan,1h 31min
36,Dead Man Walking (1995),Crime|Drama,Tim Robbins,2h 2min
38,It Takes Two (1995),Children|Comedy,Andy Tennant,1h 41min
39,Clueless (1995),Comedy|Romance,Amy Heckerling,1h 37min
40,"Cry, the Beloved Country (1995)",Drama,Darrell Roodt,1h 46min
41,Richard III (1995),Drama|War,Richard Loncraine,1h 50min
42,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes,1h 59min
43,Restoration (1995),Drama,Michael Hoffman,1h 57min
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W.S. Anderson,1h 41min
45,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,1h 46min
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,1h 57min
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,2h 7min
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel,1h 21min
49,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,1h 34min
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Bryan Singer,1h 46min
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Woody Allen,1h 35min
53,Lamerica (1994),Adventure|Drama,Gianni Amelio,1h 56min
54,"Big Green, The (1995)",Children|Comedy,Holly Goldberg Sloan,1h 40min
55,Georgia (1995),Drama,Ulu Grosbard,1h 55min
57,Home for the Holidays (1995),Drama,Jodie Foster,1h 43min
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Michael Radford,1h 48min
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Frank Oz,1h 36min
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,1h 41min
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,2h 23min
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Paris Barclay,1h 29min
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,1h 36min
65,Bio-Dome (1996),Comedy,Jason Bloom,1h 28min
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Farhad Mann,1h 33min
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,1h 44min
69,Friday (1995),Comedy,F. Gary Gray,1h 31min
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,1h 48min
71,Fair Game (1995),Action,Andrew Sipes,1h 31min
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,1h 36min
73,"Misérables, Les (1995)",Drama|War,Claude Lelouch,2h 55min
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,1h 27min
75,Big Bully (1996),Comedy|Drama,Steve Miner,1h 30min
76,Screamers (1995),Action|Sci-Fi|Thriller,Christian Duguay,1h 48min
77,Nico Icon (1995),Documentary,Susanne Ofteringer,1h 10min
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Sean Penn,1h 51min
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,1h 58min
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Jafar Panahi,1h 25min
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,1h 55min
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Marleen Gorris,1h 42min
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Tim Reid,1h 55min
85,Angels and Insects (1995),Drama|Romance,Philip Haas,1h 56min
86,White Squall (1996),Action|Adventure|Drama,Ridley Scott,2h 9min
87,Dunston Checks In (1996),Children|Comedy,Ken Kwapis,1h 28min
88,Black Sheep (1996),Comedy,Penelope Spheeris,1h 27min
89,Nick of Time (1995),Action|Thriller,John Badham,1h 30min
92,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,1h 48min
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,1h 40min
94,Beautiful Girls (1996),Comedy|Drama|Romance,Ted Demme,1h 52min
95,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,1h 48min
96,In the Bleak Midwinter (1995),Comedy|Drama,Kenneth Branagh,1h 39min
97,"Hate (Haine, La) (1995)",Crime|Drama,Mathieu Kassovitz,1h 38min
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Nick Broomfield,1h 46min
100,City Hall (1996),Drama|Thriller,Harold Becker,1h 51min
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,1h 31min
102,Mr. Wrong (1996),Comedy,Nick Castle,1h 36min
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,John Dahl,1h 57min
104,Happy Gilmore (1996),Comedy,Dennis Dugan,1h 32min
105,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,2h 15min
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Doris Dörrie,1h 44min
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Brian Henson,1h 39min
108,Catwalk (1996),Documentary,Robert Leacock,1h 35min
110,Braveheart (1995),Action|Drama|War,Mel Gibson,2h 58min
111,Taxi Driver (1976),Crime|Drama|Thriller,Martin Scorsese,1h 54min
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Stanley Tong,1h 44min
113,Before and After (1996),Drama|Mystery,Barbet Schroeder,1h 48min
116,Anne Frank Remembered (1995),Documentary,Jon Blair,1h 57min
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Benjamin Ross,1h 39min
118,If Lucy Fell (1996),Comedy|Romance,Eric Schaeffer,1h 32min
119,"Steal Big, Steal Little (1995)",Comedy,Andrew Davis,2h 15min
121,"Boys of St. Vincent, The (1992)",Drama,John N. Smith,1h 33min
122,Boomerang (1992),Comedy|Romance,Reginald Hudlin,1h 57min
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Kar-Wai Wong,1h 42min
125,Flirting With Disaster (1996),Comedy,David O. Russell,1h 32min
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Peter MacDonald,1h 35min
128,Jupiter's Wife (1994),Documentary,Michel Negroponte,1h 27min
129,Pie in the Sky (1996),Comedy|Romance,Bryan Gordon,1h 35min
132,Jade (1995),Thriller,William Friedkin,1h 35min
135,Down Periscope (1996),Comedy,David S. Ward,1h 32min
137,Man of the Year (1995),Documentary,Dirk Shafer,1h 26min
140,Up Close and Personal (1996),Drama|Romance,Jon Avnet,2h 4min
141,"Birdcage, The (1996)",Comedy,Mike Nichols,1h 57min
144,"Brothers McMullen, The (1995)",Comedy,Edward Burns,1h 38min
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Michael Bay,1h 59min
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Christopher Cain,1h 24min
147,"Basketball Diaries, The (1995)",Drama,Scott Kalvert,1h 42min
148,"Awfully Big Adventure, An (1995)",Drama,Mike Newell,1h 52min
149,Amateur (1994),Crime|Drama|Thriller,Hal Hartley,1h 45min
150,Apollo 13 (1995),Adventure|Drama|IMAX,Ron Howard,2h 20min
151,Rob Roy (1995),Action|Drama|Romance|War,Michael Caton-Jones,2h 19min
152,"Addiction, The (1995)",Drama|Horror,Abel Ferrara,1h 22min
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Joel Schumacher,2h 1min
154,Beauty of the Day (Belle de jour) (1967),Drama,Luis Buñuel,1h 40min
155,Beyond Rangoon (1995),Adventure|Drama|War,John Boorman,1h 40min
156,Blue in the Face (1995),Comedy|Drama,Paul Auster,1h 23min
157,Canadian Bacon (1995),Comedy|War,Michael Moore,1h 31min
158,Casper (1995),Adventure|Children,Brad Silberling,1h 40min
159,Clockers (1995),Crime|Drama|Mystery,Spike Lee,2h 8min
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Frank Marshall,1h 49min
161,Crimson Tide (1995),Drama|Thriller|War,Tony Scott,1h 56min
162,Crumb (1994),Documentary,Terry Zwigoff,1h 59min
163,Desperado (1995),Action|Romance|Western,Robert Rodriguez,1h 44min
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Carl Franklin,1h 42min
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,John McTiernan,2h 8min
